央视,#genre#
金色学堂,http://111.20.105.60:6060/yinhe/2/ch00000090990000002675/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
家庭理财,http://111.20.105.60:6060/yinhe/2/ch00000090990000001324/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
财富天下,http://111.20.105.60:6060/yinhe/2/ch00000090990000001689/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
京视剧场,http://111.20.105.60:6060/yinhe/2/ch00000090990000001319/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
弈坛春秋,http://111.20.105.60:6060/yinhe/2/ch00000090990000001322/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
置业频道,http://111.20.105.60:6060/yinhe/2/ch00000090990000001318/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
纪实人文,http://111.20.105.60:6060/yinhe/2/ch00000090990000001330/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
纪实科教,http://111.20.105.60:6060/yinhe/2/ch00000090990000001329/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
金鹰纪实,http://111.20.105.60:6060/yinhe/2/ch00000090990000001699/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
金鹰卡通,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226296/1/index.m3u8?fmt=ts2hls
重庆汽摩,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225736/1/index.m3u8?fmt=ts2hls
健身,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226160/1/index.m3u8?fmt=ts2hls
法治天地,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226199/1/index.m3u8?fmt=ts2hls
生活时尚,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226207/1/index.m3u8?fmt=ts2hls
新视觉,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226237/1/index.m3u8?fmt=ts2hls
茶频道,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226240/1/index.m3u8?fmt=ts2hls
天元围棋,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221226341/1/index.m3u8?fmt=ts2hls
环球奇观,http://39.136.18.105/cdnrrs.gz.chinamobile.com/PLTV/88888888/224/3221225681/1/index.m3u8?fmt=ts2hls

剧场,#genre#
NEW明星大片,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000004000019008&livemode=1&stbId=2&channel-id=ystenlive
NEW超级体育,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000009601&livemode=1&stbId=2&channel-id=ystenlive
NEW超级电影,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000012884&livemode=1&stbId=2&channel-id=ystenlive
NEW超级综艺,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000004000023658&livemode=1&stbId=2&channel-id=ystenlive
NEW魅力潇湘,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000006197&livemode=1&stbId=2&channel-id=ystenlive
NEW中国功夫,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5897056882324761054&livemode=1&stbId=2&channel-id=ystenlive
NEW军旅剧场,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=7485075951068666323&livemode=1&stbId=2&channel-id=ystenlive
NEW军事评论,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=5822616274253344775&livemode=1&stbId=2&channel-id=ystenlive
NEW农业致富,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6193684637634073625&livemode=1&stbId=2&channel-id=ystenlive
NEW动作电影,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=8103864434730665389&livemode=1&stbId=2&channel-id=ystenlive
NEW古装剧场,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6859053933687922163&livemode=1&stbId=2&channel-id=ystenlive
NEW家庭剧场,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6316377948248689070&livemode=1&stbId=2&channel-id=ystenlive
NEW怡伴健康,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=7820874641606664941&livemode=1&stbId=2&channel-id=ystenlive
NEW惊悚悬疑,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=7151256057701199617&livemode=1&stbId=2&channel-id=ystenlive
NEW武搏世界,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=bokesen&livemode=1&stbId=2&channel-id=ystenlive
NEW海外剧场,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=7681593242002292003&livemode=1&stbId=2&channel-id=ystenlive
NEW潮妈辣婆,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6516734029835465177&livemode=1&stbId=2&channel-id=ystenlive
NEW炫舞未来,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000000515&livemode=1&stbId=2&channel-id=ystenlive
NEW爱情喜剧,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=8393829412396288037&livemode=1&stbId=2&channel-id=ystenlive
NEW精品大剧,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=7882297361445410858&livemode=1&stbId=2&channel-id=ystenlive
NEW精品纪录,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6298506997017621594&livemode=1&stbId=2&channel-id=ystenlive
NEW超级电视剧,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000008139&livemode=1&stbId=2&channel-id=ystenlive
NEW金牌综艺,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6399725674632152632&livemode=1&stbId=2&channel-id=ystenlive
﻿NEW黑莓电影,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=8785669936177902664&livemode=1&stbId=2&channel-id=ystenlive
NEW黑莓动画,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=6497762188035533951&livemode=1&stbId=2&channel-id=ystenlive
NEW黑莓电竞,http://39.135.253.7/0000000000001001/1/index.m3u8?Contentid=1000000001000006906&livemode=1&stbId=2&channel-id=ystenlive
﻿IHOT爱谍战,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000070630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000070630&livemode=1&stbId=3
IHOT爱动漫,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000280630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000280630&livemode=1&stbId=3
IHOT爱都市,http://zteres.sn.chinamobile.com:6060/000000001000/6000000006000080630/index.m3u8?channel-id=wasusyt&Contentid=6000000006000080630&livemode=1&stbId=3
